"id","name","parent_id:id","type"
"kategori_produk_166","Implementasi Interface 1","kategori_produk_138","normal"
"kategori_produk_167","Implementasi Interface 2","kategori_produk_138","normal"
"kategori_produk_168","Implementasi PSAK 50 dan 55","kategori_produk_138","normal"
"kategori_produk_169","Implementasi PSAK 50 dan 55 VBS","kategori_produk_138","normal"
"kategori_produk_170","Interface","kategori_produk_138","normal"
"kategori_produk_171","Interface Aplikasi VBS - RTGS","kategori_produk_138","normal"
"kategori_produk_172","Interface BI RTGS","kategori_produk_138","normal"
"kategori_produk_173","Internace BI-RTGS Generasi II","kategori_produk_138","normal"
"kategori_produk_174","Norman Anti Virus 300 User","kategori_produk_138","normal"
"kategori_produk_175","PKM Perkreditan","kategori_produk_138","normal"
"kategori_produk_176","Manajemen Security","kategori_produk_138","normal"
"kategori_produk_177","Serves Retensi Orekal","kategori_produk_138","normal"
"kategori_produk_178","SID 2016","kategori_produk_138","normal"
"kategori_produk_179","Sisdur SDM","kategori_produk_138","normal"
"kategori_produk_180","Sistim Aplikasi Treasury (OSTS)","kategori_produk_138","normal"
"kategori_produk_181","Server","kategori_produk_138","normal"
"kategori_produk_182","Lisensi","kategori_produk_137","view"
"kategori_produk_183","Licensi Citrix","kategori_produk_182","normal"
"kategori_produk_184","Licensi Citrix New","kategori_produk_182","normal"
"kategori_produk_185","Licensi Microsoft","kategori_produk_182","normal"
"kategori_produk_186","Licensi Oracle","kategori_produk_182","normal"
"kategori_produk_187","Lisensi Anti Virus","kategori_produk_182","normal"
"kategori_produk_188","Lisensi Anti Virus Norman Renewal","kategori_produk_182","normal"
"kategori_produk_189","Lisensi Database","kategori_produk_182","normal"
"kategori_produk_190","Lisensi Database Oracle","kategori_produk_182","normal"
"kategori_produk_191","lisensi database oracle","kategori_produk_182","normal"
"kategori_produk_192","Lisensi Graph  250 User","kategori_produk_182","normal"
"kategori_produk_193","Lisensi Microsoft","kategori_produk_182","normal"
"kategori_produk_194","Lisensi Microsoft","kategori_produk_182","normal"
"kategori_produk_195","Lisensi New Versi 5.0","kategori_produk_182","normal"
"kategori_produk_196","Lisensi O/S","kategori_produk_182","normal"
"kategori_produk_197","Lisensi Oracle","kategori_produk_182","normal"
"kategori_produk_198","Lisensi Pat","kategori_produk_182","normal"
"kategori_produk_199","Lisensi Software GR L","kategori_produk_182","normal"
"kategori_produk_200","Lisensi SQL SVR","kategori_produk_182","normal"
"kategori_produk_201","Lisensi Windows SVR ","kategori_produk_182","normal"
"kategori_produk_202","Microsoft SQL Server","kategori_produk_182","normal"
"kategori_produk_203","New Lisensi Graphon","kategori_produk_182","normal"
"kategori_produk_204","Server","kategori_produk_182","normal"
"kategori_produk_205","SQL 2016","kategori_produk_182","normal"
"kategori_produk_206","Software","kategori_produk_182","normal"
"kategori_produk_207","Software ATM","kategori_produk_182","normal"
"kategori_produk_208","Software Citrix","kategori_produk_182","normal"
"kategori_produk_209","Software Oracle","kategori_produk_182","normal"
"kategori_produk_210","Software VBS","kategori_produk_182","normal"
"kategori_produk_211","Software VBS Konvensional","kategori_produk_182","normal"
"kategori_produk_212","Software VBS Syariah","kategori_produk_182","normal"
"kategori_produk_213","Windows Serever","kategori_produk_182","normal"
"kategori_produk_214","Windows Server","kategori_produk_182","normal"
"kategori_produk_215","Windows Server","kategori_produk_182","normal"
"kategori_produk_216","Windows Server","kategori_produk_182","normal"
