"id","name","journal_id:id","account_asset_id:id","account_depreciation_id:id","account_expense_depreciation_id:id","improvement_journal_id:id","impairment_journal_id:id","impairment_account_id:id","impairment_expense_account_id:id","impairment_reversal_account_id:id","method_time","method_number","method_period","method","method_progress_factor","prorata","date_min_prorate","sequence_id:id","asset_cancel_group_ids:id","asset_cancel_group_ids:id"
"kategori_aset_47","Casing atau Box ATM","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_8","group_pat_validator","group_pat_validator"
"kategori_aset_49","Mesin Tik","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_50","Mesin Hitung Uang (Standing &amp; Portabel)","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_51","Mesin Fotocopy ","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_52","Duplikator (Mesin Stensil)","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_53","Mesin Akunting/ Kalkulator","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_54","Mesin Absensi/ Mesin Presensi","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_55","Mesing Penghancur Kertas","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_56","Mesin Anrian","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
"kategori_aset_57","Mesin Validasi","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_9","group_pat_validator","group_pat_validator"
